PMCID	AccessionNb	Section	SubType	Figure	PreCitation	Citation	PostCitation
PMC4417626	2q0r	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	1qz5	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	2asm	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	2q0u	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	3gid	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	1yet	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	3inw	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	2vwc	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	1bgq	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	2hkj	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	2q8i	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC4417626	3cgy	Methods	PDBe	False	Complexes with a mutation in the binding site were excluded, as well as those with a binding site conformation known to be dependent on crystal contacts. 	The PDB codes for the 22 complexes in the final test set are as follows: cyclosporin/cyclophilin, 1cwa; sanglifehrin/cyclophilin, 1ynd; rapamycin/FKBP, 2dg3; FK506/FKBP, 2fke; scyptolin/pan-elastase, 1okx; ge2270a/ef-tu, 1d8t; nodularin R/PP1a, 3e7a; arylomycin/signal peptidase, 1t7d; argadin/chitinase, 1waw; argifin/chitinase, 1wb0; pectenotoxin/ actin, 2q0r; kabiramide C/actin, 1qz5; reidispongiolide A/actin, 2asm; latrunculin B/actin, 2q0u; sorephan A/acetylCoA carboxylase, 3gid; geldanamycin/hsp90 (hu), 1yet; pochoxime A/hsp90 (hu), 3inw; macbecin/hsp90 (yeast), 2vwc; radicicol/hsp90 (yeast), 1bgq; radicicol/topoisomerase VI-B, 2hkj; radiciol/PDK3, 2q8i; radicicol/PhoQ, 3cgy. 	Defining Protein-MC Contact Regions The interaction of the ligands with their respective proteins was assessed in two ways: (1) solvent accessible surface area (SASA) analysis and (2) determination of contact atoms. 
PMC5222340	1O3T	Results	PDBe	False	We attempted to fit the positions of three sulfates as closely as possible to the phosphates in the bent DNA molecule. 	Surprisingly, these three sulfates fit well with the phosphates of curved DNA molecules in the CAP (catabolite activator protein)-DNA complexes (PDB ID: 1O3T) [48]. 	The Sso7c4-DNA model shown in Fig 5A is approximately 2-fold symmetric, with each Sso7c4 dimer interacting with one half-site of symmetry-related DNA. Two swapped-β-loop-β motifs on the top of Sso7c4 contact the major groove on the concave side of the curved DNA. 
PMC5222340	1B67	Results	PDBe	False	In comparison with histone H3, which has a similar fold, the related DNA-binding residues R72 and R83 in H3 correspond to R11 and R20 in HMfA (as well as the equivalent residues in HMfB), respectively. 	When the crystal structures of HMfA (PDB 1B67) and H3 (H3 histone in the nucleosome, 1KX5) are superposed by using the α carbons, the orientation of R11 side chain in HMfA is quite different from that of R72 in H3 (S7B Fig). 	Therefore, the similarity between R22 of Sso7c4 and R72 of H3 is not readily observed in R11 of HMfA. Nevertheless, it is likely that the R11 side-chain conformation of HMfA could be changed, similar to that of R72 in H3, upon DNA complex formation. 
PMC5222340	1KX5	Results	PDBe	False	In comparison with histone H3, which has a similar fold, the related DNA-binding residues R72 and R83 in H3 correspond to R11 and R20 in HMfA (as well as the equivalent residues in HMfB), respectively. 	When the crystal structures of HMfA (PDB 1B67) and H3 (H3 histone in the nucleosome, 1KX5) are superposed by using the α carbons, the orientation of R11 side chain in HMfA is quite different from that of R72 in H3 (S7B Fig). 	Therefore, the similarity between R22 of Sso7c4 and R72 of H3 is not readily observed in R11 of HMfA. Nevertheless, it is likely that the R11 side-chain conformation of HMfA could be changed, similar to that of R72 in H3, upon DNA complex formation. 
PMC5222340	2L66	Methods	PDBe	False	Structure determination and refinement 	Although a solution structure of Sso7c4 (PDB ID: 2L66) was previously determined by NMR [36], it did not yield a correct molecular replacement (MR) solution for the crystals. 	The structure was instead determined using the two-wavelength anomalous dispersion data collected from a crystal of a mutant protein in which Val21 was replaced with Se-Met. The phases of the crystals of the selenomethionine-derived Sso7c4-V21M protein were calculated using the 2.1 Å resolution data from two-wavelength anomalous dispersion experiments collected at a selenium high remote wavelength of 0.9635 Å and an inflection wavelength of 0.9789 Å. The locations of the two selenium sites were identified using the program SHELX/C/D/E [58], with an occupancy of greater than 0.8. 
